住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県西宮市上ケ原一番町,34.7679048,135.3469278,42
兵庫県西宮市上ケ原二番町,34.7655235,135.3495704,257
兵庫県西宮市上ケ原三番町,34.7650671,135.3464873,263
兵庫県西宮市上ケ原四番町,34.7623377,135.3492768,714
兵庫県西宮市上ケ原五番町,34.7622184,135.3472214,483
兵庫県西宮市上ケ原六番町,34.7644693,135.3436981,248
兵庫県西宮市上ケ原七番町,34.7607072,135.3457533,574
兵庫県西宮市上ケ原八番町,34.7611423,135.3436981,695
兵庫県西宮市上ケ原九番町,34.76018570000001,135.3422301,340
兵庫県西宮市上ケ原十番町,34.7624255,135.3398815,559
兵庫県西宮市上ケ原山田町,34.7668612,135.3398815,531
兵庫県西宮市上ケ原山手町,34.7664264,135.3419366,98
兵庫県西宮市上甲東園１丁目,34.7683603,135.3574991,659
兵庫県西宮市上甲東園２丁目,34.7684044,135.3528005,363
兵庫県西宮市上甲東園３丁目,34.7684264,135.3504513,375
兵庫県西宮市上甲東園４丁目,34.7643702,135.3542687,184
兵庫県西宮市甲東園１丁目,34.7677724,135.3610235,654
兵庫県西宮市甲東園２丁目,34.7699907,135.3610235,305
兵庫県西宮市甲東園３丁目,34.7676532,135.3589676,314
兵庫県西宮市松籟荘,34.7655764,135.3586739,526
兵庫県西宮市神呪町,34.7628146,135.3574991,563
兵庫県西宮市門戸東町,34.7600529,135.3563244,699
兵庫県西宮市門戸西町,34.7634247,135.3516259,506
兵庫県西宮市門戸岡田町,34.7578568,135.3539751,847
兵庫県西宮市門戸荘,34.7567253,135.3563244,1144
兵庫県西宮市一里山町,34.771554,135.371598,516
兵庫県西宮市段上町１丁目,34.7671844,135.3645481,485
兵庫県西宮市段上町２丁目,34.7694027,135.3645481,532
兵庫県西宮市段上町３丁目,34.7720342,135.3648418,502
兵庫県西宮市段上町４丁目,34.7722089,135.3610235,444
兵庫県西宮市段上町５丁目,34.7738393,135.3645481,524
兵庫県西宮市段上町６丁目,34.7732513,135.3680729,1188
兵庫県西宮市段上町７丁目,34.769358,135.3692479,198
兵庫県西宮市段上町８丁目,34.7660527,135.3668979,497
兵庫県西宮市上大市１丁目,34.7654127,135.3613172,423
兵庫県西宮市上大市２丁目,34.7633357,135.3610235,725
兵庫県西宮市上大市３丁目,34.7649659,135.3645481,215
兵庫県西宮市上大市４丁目,34.7632909,135.365723,764
兵庫県西宮市上大市５丁目,34.7673999,135.3710105,717
兵庫県西宮市下大市東町,34.7588988,135.3610235,818
兵庫県西宮市下大市西町,34.7605739,135.3598487,449
兵庫県西宮市樋ノ口町１丁目,34.7626798,135.371598,533
兵庫県西宮市樋ノ口町２丁目,34.7596574,135.3686604,1126
兵庫県西宮市大島町,34.76161570000001,135.3668979,261
兵庫県西宮市若山町,34.7598329,135.3648418,463
兵庫県西宮市門前町,34.7572011,135.3645481,886
兵庫県西宮市林田町,34.7572237,135.3621983,328
兵庫県西宮市野間町,34.7562784,135.359555,489
兵庫県西宮市田近野町,34.7782091,135.371598,905
兵庫県西宮市上甲東園５丁目,34.765719,135.3508918,254
兵庫県西宮市岡田山（４～７番）,34.7593063,135.3519012,89
兵庫県西宮市上甲東園６丁目,34.7643592,135.3554434,40
兵庫県西宮市甲東,34.7672381,135.3594599,29284
兵庫県西宮市塩瀬町名塩（〒669-1141）,34.8506352,135.2946934,106
兵庫県西宮市塩瀬町生瀬,34.8117315,135.3111204,160
兵庫県西宮市清瀬台,34.8269024,135.3187491,251
兵庫県西宮市名塩木之元,34.8241619,135.315228,180
兵庫県西宮市名塩南台１丁目,34.826353,135.3014395,138
兵庫県西宮市名塩南台２丁目,34.8259687,135.2976264,252
兵庫県西宮市名塩南台３丁目,34.823734,135.2999729,281
兵庫県西宮市名塩南台４丁目,34.8220434,135.3034928,247
兵庫県西宮市名塩山荘,34.8271332,135.2905876,344
兵庫県西宮市名塩ガ－デン,34.8281282,135.2873618,207
兵庫県西宮市名塩平成台,34.8310751,135.282377,370
兵庫県西宮市名塩新町,34.8263973,135.3128807,203
兵庫県西宮市東山台１丁目,34.8287733,135.3102402,427
兵庫県西宮市東山台２丁目,34.8297015,135.315228,781
兵庫県西宮市東山台３丁目,34.8330444,135.3128807,755
兵庫県西宮市東山台４丁目,34.8330829,135.3081866,291
兵庫県西宮市東山台５丁目,34.833102,135.3058396,81
兵庫県西宮市国見台４丁目,34.8369504,135.3093601,123
兵庫県西宮市名塩１丁目,34.829817,135.3011462,418
兵庫県西宮市名塩２丁目,34.8309816,135.2941068,216
兵庫県西宮市名塩３丁目,34.8311318,135.2926404,161
兵庫県西宮市名塩茶園町,34.8350827,135.2832566,202
兵庫県西宮市名塩さくら台１丁目,34.8377197,135.282377,218
兵庫県西宮市名塩さくら台２丁目,34.8371935,135.2788586,286
兵庫県西宮市名塩さくら台３丁目,34.8390043,135.2773927,189
兵庫県西宮市名塩さくら台４丁目,34.8372299,135.2741678,247
兵庫県西宮市名塩東久保,34.8344525,135.2753405,75
兵庫県西宮市名塩赤坂,34.8367215,135.268305,348
兵庫県西宮市名塩美山,34.8466684,135.2706501,42
兵庫県西宮市宝生ケ丘１丁目,34.8140494,135.3316622,296
兵庫県西宮市宝生ケ丘２丁目,34.8139387,135.3284336,209
兵庫県西宮市生瀬高台,34.8130018,135.3246183,459
兵庫県西宮市花の峯,34.8233582,135.3284336,199
兵庫県西宮市青葉台１丁目,34.8207986,135.3199229,278
兵庫県西宮市青葉台２丁目,34.8229948,135.3222705,210
兵庫県西宮市生瀬東町,34.8156814,135.3351846,650
兵庫県西宮市生瀬武庫川町,34.8169611,135.3313687,761
兵庫県西宮市生瀬町１丁目,34.8201748,135.3281401,278
兵庫県西宮市生瀬町２丁目,34.8186536,135.3278466,350
兵庫県西宮市塩瀬,34.8506352,135.2946934,11289
兵庫県西宮市山口町名来,34.8433275,135.236073,21
