住所（スプレッドシート用）,Latitude,Longitude,世帯数
兵庫県姫路市下手野２丁目,34.8466098,134.6530722,268
兵庫県姫路市下手野３丁目,34.84657,134.6483741,352
兵庫県姫路市下手野４丁目,34.8499142,134.6507232,531
兵庫県姫路市下手野５丁目,34.8495209,134.6533658,429
兵庫県姫路市下手野６丁目,34.852291,134.6533658,366
兵庫県姫路市東今宿２丁目,34.839677,134.6686313,92
兵庫県姫路市神子岡前２丁目,34.8388803,134.6727404,201
兵庫県姫路市神子岡前３丁目,34.8395556,134.6706859,170
兵庫県姫路市神子岡前４丁目,34.8410864,134.6715664,141
兵庫県姫路市車崎１丁目,34.8375198,134.6756752,296
兵庫県姫路市車崎２丁目,34.838618,134.6745013,204
兵庫県姫路市車崎３丁目,34.8375003,134.6733273,39
兵庫県姫路市田寺１丁目,34.854502,134.6695118,329
兵庫県姫路市田寺２丁目,34.8563046,134.6698053,184
兵庫県姫路市田寺３丁目,34.8555906,134.6671637,236
兵庫県姫路市田寺４丁目,34.8579182,134.6639348,217
兵庫県姫路市田寺５丁目,34.8579374,134.6662831,189
兵庫県姫路市田寺６丁目,34.8583696,134.6683378,228
兵庫県姫路市田寺７丁目,34.8583888,134.6706859,223
兵庫県姫路市田寺８丁目,34.8606042,134.6706859,510
兵庫県姫路市田寺山手町,34.8555358,134.677436,121
兵庫県姫路市辻井１丁目,34.8478745,134.6718599,267
兵庫県姫路市辻井２丁目,34.8495072,134.6683378,107
兵庫県姫路市辻井３丁目,34.852962,134.6674572,92
兵庫県姫路市辻井４丁目,34.8521552,134.6703924,161
兵庫県姫路市辻井５丁目,34.8496675,134.6709794,185
兵庫県姫路市辻井６丁目,34.8491425,134.6745013,210
兵庫県姫路市辻井７丁目,34.8517614,134.6730339,341
兵庫県姫路市辻井８丁目,34.8529074,134.6777295,275
兵庫県姫路市辻井９丁目,34.850692,134.6777295,174
兵庫県姫路市御立西１丁目,34.8600025,134.6648154,318
兵庫県姫路市御立西２丁目,34.8615329,134.665696,218
兵庫県姫路市御立西３丁目,34.8616353,134.6612928,349
兵庫県姫路市御立西４丁目,34.8634283,134.6604121,81
兵庫県姫路市御立西５丁目,34.8633258,134.6648154,260
兵庫県姫路市御立西６丁目,34.8651187,134.6639348,220
兵庫県姫路市御立中１丁目,34.8629509,134.6698053,166
兵庫県姫路市御立中２丁目,34.8661425,134.6706859,172
兵庫県姫路市御立中３丁目,34.8650159,134.6683378,249
兵庫県姫路市御立中４丁目,34.8661046,134.6659895,291
兵庫県姫路市御立中５丁目,34.8683389,134.6683378,233
兵庫県姫路市御立中６丁目,34.8679447,134.6709794,144
兵庫県姫路市御立中７丁目,34.8698783,134.6703924,240
兵庫県姫路市御立中８丁目,34.8706855,134.6674572,209
兵庫県姫路市御立北１丁目,34.8722249,134.6695118,83
兵庫県姫路市御立北２丁目,34.8763922,134.6712729,169
兵庫県姫路市御立北３丁目,34.8711734,134.6765556,80
兵庫県姫路市御立東１丁目,34.8623318,134.6789033,383
兵庫県姫路市御立東２丁目,34.8628385,134.6730339,428
兵庫県姫路市御立東３丁目,34.8661613,134.6730339,243
兵庫県姫路市御立東４丁目,34.8650726,134.6753817,190
兵庫県姫路市御立東５丁目,34.8645656,134.6812509,104
兵庫県姫路市御立東６丁目,34.8678508,134.6765556,122
兵庫県姫路市田寺東１丁目,34.856531,134.680664,230
兵庫県姫路市田寺東２丁目,34.8567558,134.6742078,681
兵庫県姫路市田寺東３丁目,34.8600977,134.6765556,396
兵庫県姫路市田寺東４丁目,34.859591,134.6824246,329
兵庫県姫路市小利木町,34.8411795,134.6913734,65
兵庫県姫路市鷹匠町,34.8395598,134.6879995,105
兵庫県姫路市柳町,34.8398134,134.6893931,25
兵庫県姫路市材木町,34.8376069,134.686239,113
兵庫県姫路市景福寺前,34.8378694,134.6844786,62
兵庫県姫路市柿山伏,34.8381222,134.6815443,127
兵庫県姫路市農人町,34.8370945,134.6828647,39
兵庫県姫路市吉田町,34.8365599,134.6852121,121
兵庫県姫路市龍野町１丁目,34.8360012,134.6846253,84
兵庫県姫路市龍野町２丁目,34.8365454,134.6834516,60
兵庫県姫路市龍野町３丁目,34.8367423,134.6821312,76
兵庫県姫路市龍野町４丁目,34.83708,134.6811041,14
兵庫県姫路市龍野町５丁目,34.8374834,134.6796369,76
兵庫県姫路市龍野町６丁目,34.8366379,134.6778762,65
兵庫県姫路市岡町,34.8395407,134.6856522,165
兵庫県姫路市嵐山町,34.8414649,134.6838917,183
兵庫県姫路市岩端町,34.8413048,134.6812509,535
兵庫県姫路市東辻井１丁目,34.8452844,134.6768491,288
兵庫県姫路市東辻井２丁目,34.8457167,134.6789033,194
兵庫県姫路市東辻井３丁目,34.8491808,134.6791967,244
兵庫県姫路市東辻井４丁目,34.8468052,134.6765556,235
兵庫県姫路市新在家中の町,34.8467313,134.6844786,223
兵庫県姫路市西新在家１丁目,34.8469844,134.6815443,36
兵庫県姫路市西新在家２丁目,34.8485147,134.6824246,152
兵庫県姫路市西新在家３丁目,34.849472,134.6809574,128
兵庫県姫路市山野井町,34.8412214,134.6879995,282
兵庫県姫路市八代,34.8458682,134.6976805,511
兵庫県姫路市伊伝居,34.8500353,134.6994405,1257
兵庫県姫路市新在家本町１丁目,34.8480082,134.6882928,58
兵庫県姫路市新在家本町２丁目,34.8514812,134.6897598,143
兵庫県姫路市新在家本町３丁目,34.8497916,134.686239,126
兵庫県姫路市新在家本町４丁目,34.8520163,134.6874127,95
兵庫県姫路市新在家本町５丁目,34.8496413,134.684772,107
兵庫県姫路市新在家本町６丁目,34.8535086,134.6835983,115
兵庫県姫路市八代緑ケ丘町,34.8537057,134.6909333,158
兵庫県姫路市八代宮前町,34.8513685,134.6929869,217
兵庫県姫路市八代東光寺町,34.8468069,134.693867,346
兵庫県姫路市北八代１丁目,34.8473419,134.6915201,255
兵庫県姫路市北八代２丁目,34.8493036,134.6944537,49
兵庫県姫路市八代本町１丁目,34.8435966,134.6906399,240
兵庫県姫路市八代本町２丁目,34.8451361,134.6926936,152
兵庫県姫路市城北本町,34.8515279,134.6956271,382
兵庫県姫路市西八代町,34.8457929,134.6882928,301
兵庫県姫路市南八代町,34.8435776,134.6882928,246
兵庫県姫路市南新在家,34.8450793,134.6856522,445
兵庫県姫路市北新在家１丁目,34.8546538,134.6882928,171
兵庫県姫路市北新在家２丁目,34.856287,134.684772,202
兵庫県姫路市北新在家３丁目,34.8567187,134.6868259,84
兵庫県姫路市新在家１丁目,34.8439525,134.6833049,128
兵庫県姫路市新在家２丁目,34.8450411,134.6809574,111
兵庫県姫路市新在家３丁目,34.8447881,134.6838917,149
兵庫県姫路市新在家４丁目,34.8456045,134.6821312,111
兵庫県姫路市広嶺山,34.8755217,134.701787,1
兵庫県姫路市広峰１丁目,34.8535168,134.7020803,212
兵庫県姫路市広峰２丁目,34.8553095,134.7012004,144
兵庫県姫路市城北新町１丁目,34.8536207,134.6976805,384
兵庫県姫路市城北新町２丁目,34.8559671,134.6968005,367
兵庫県姫路市城北新町３丁目,34.8546911,134.6929869,102
兵庫県姫路市峰南町,34.8591761,134.7000271,305
兵庫県姫路市北平野南の町,34.856906,134.6929869,524
兵庫県姫路市北平野台町,34.863636,134.686239,53
兵庫県姫路市北平野奥垣内,34.8702129,134.6953338,31
兵庫県姫路市北平野１丁目,34.8615041,134.6968005,262
兵庫県姫路市北平野２丁目,34.8618803,134.6918134,416
兵庫県姫路市北平野３丁目,34.8636914,134.6932803,147
兵庫県姫路市北平野４丁目,34.8630427,134.6988538,175
兵庫県姫路市北平野５丁目,34.8652209,134.6941604,219
兵庫県姫路市北平野６丁目,34.8663646,134.6988538,309
兵庫県姫路市上大野１丁目,34.8657471,134.6906399,303
兵庫県姫路市上大野２丁目,34.8669768,134.6885862,40
兵庫県姫路市上大野３丁目,34.8673621,134.684772,224
兵庫県姫路市上大野４丁目,34.8704484,134.6874009,90
兵庫県姫路市上大野５丁目,34.8696137,134.6894664,94
兵庫県姫路市上大野６丁目,34.8681025,134.6909333,180
兵庫県姫路市大寿台１丁目,34.8701399,134.6859456,109
兵庫県姫路市大寿台２丁目,34.8723363,134.6835983,142
兵庫県姫路市西大寿台,34.8697085,134.6838917,92
兵庫県姫路市梅ケ谷町,34.8599099,134.6877061,565
兵庫県姫路市保城,34.8557355,134.720555,1578
兵庫県姫路市西中島,34.8554004,134.7129314,872
兵庫県姫路市増位新町１丁目,34.8555049,134.7085327,728
兵庫県姫路市増位本町１丁目,34.854098,134.7055999,63
兵庫県姫路市増位本町２丁目,34.8564534,134.7058932,210
兵庫県姫路市増位新町２丁目,34.8575969,134.7105855,443
